screen_name,user_name,status_id,url,actual_url,title,published_date,retweeted,retweet_screen_name,retweet_user_name
"ImanAbdulRahim","Iman","1003330598499278848","https://t.co/gqpp8rFvAp","null","Siapa pernah try? https://t.co/gqpp8rFvAp","Mon Jun 04 01:40:30 SGT 2018","false","Not Available","Not Available"
screen_name,user_name,status_id,url,actual_url,title,published_date,retweeted,retweet_screen_name,retweet_user_name
"ImanAbdulRahim","Iman","1003330598499278848","https://t.co/gqpp8rFvAp","null","Siapa pernah try? https://t.co/gqpp8rFvAp","Mon Jun 04 01:40:30 SGT 2018","false","Not Available","Not Available"
"nurul_nbt95","Basit","1003330615175929857","Not Available","Not Available","bsbsbbs","Mon Jun 04 01:40:34 SGT 2018","false","Not Available","Not Available"
"nurul_nbt95","Basit","1003330615175929857","Not Available","Not Available","bsbsbbs","Mon Jun 04 01:40:34 SGT 2018","false","Not Available","Not Available"
"nurul_nbt95","Basit","1003330615175929857","Not Available","Not Available","bsbsbbs","Mon Jun 04 01:40:34 SGT 2018","false","Not Available","Not Available"
"ImanAbdulRahim","Iman","1003330872932618240","https://t.co/XQplVBTx82","null","Selagi tak pedih, ketat, tak selesa or pelik pelik, maybe ok je. Kulit dry tu maybe sebab environment. Tapi kalau tak selesa, maybe sebab lain https://t.co/XQplVBTx82","Mon Jun 04 01:41:35 SGT 2018","false","Not Available","Not Available"
"ImanAbdulRahim","Iman","1003330872932618240","https://t.co/XQplVBTx82","null","Selagi tak pedih, ketat, tak selesa or pelik pelik, maybe ok je. Kulit dry tu maybe sebab environment. Tapi kalau tak selesa, maybe sebab lain https://t.co/XQplVBTx82","Mon Jun 04 01:41:35 SGT 2018","false","Not Available","Not Available"
"ImanAbdulRahim","Iman","1003330872932618240","https://t.co/XQplVBTx82","null","Selagi tak pedih, ketat, tak selesa or pelik pelik, maybe ok je. Kulit dry tu maybe sebab environment. Tapi kalau tak selesa, maybe sebab lain https://t.co/XQplVBTx82","Mon Jun 04 01:41:35 SGT 2018","false","Not Available","Not Available"
"ImanAbdulRahim","Iman","1003331033809412096","https://t.co/JKjDh9rA0m","null","Ada thread dah! About kulit kusam and brightening ingredients :) https://t.co/JKjDh9rA0m","Mon Jun 04 01:42:14 SGT 2018","false","Not Available","Not Available"
screen_name,user_name,status_id,url,actual_url,title,published_date,retweeted,retweet_screen_name,retweet_user_name
"Nakborak","??Nak Borak","1003334904422125568","Not Available","Not Available","Always remember to fall asleep with a dream and wake up with a purpose! Good night! ?","Mon Jun 04 01:57:36 SGT 2018","false","Not Available","Not Available"
screen_name,user_name,status_id,url,actual_url,title,published_date,retweeted,retweet_screen_name,retweet_user_name
"nurul_nbt95","Basit","1003335483655577600","Not Available","Not Available","RT @aymeemin: Tadi di Plaza Tol LDP Sg. Penchala, ada kereta stuck di laluan tol T&G. Agaknya card tak ada sufficient balance. Di Msia Lama…","Mon Jun 04 01:59:55 SGT 2018","true","aymeemin","?Min?"
"nurul_nbt95","Basit","1003335499195400193","Not Available","Not Available","RT @WannaOne_twt: Wanna One????GO: X-CON

<???GO: X-CON> ??? ?? ? ??!
6/4(?) ?? 8?! ???? ?? ?????

?????? ???? ?? ?? ????!
?WANNAONE GO: X-…","Mon Jun 04 01:59:58 SGT 2018","true","WannaOne_twt","Wanna One"
"nurul_nbt95","Basit","1003335523102912512","Not Available","Not Available","RT @zulfqr91: Kagum dengan manusia itu takpe tapi jangan taksub. Fitrah adam itu tak lari dari perjalanan cerita tentang syurga dan neraka.…","Mon Jun 04 02:00:04 SGT 2018","true","zulfqr91","Zul Hensem Bapak"
screen_name,user_name,status_id,url,actual_url,title,published_date,retweeted,retweet_screen_name,retweet_user_name
"nurul_nbt95","Basit","1003336014419525632","Not Available","Not Available","RT @WannaOne_twt: Wanna One????GO: X-CON

<???GO: X-CON> ??? ?? ? ??!
6/4(?) ?? 8?! ???? ?? ?????

?????? ???? ?? ?? ????!
?WANNAONE GO: X-…","Mon Jun 04 02:02:01 SGT 2018","true","WannaOne_twt","Wanna One"
"nurdiyana431","yana®","1003336087639486464","Not Available","Not Available","RT @aymeemin: Tadi di Plaza Tol LDP Sg. Penchala, ada kereta stuck di laluan tol T&G. Agaknya card tak ada sufficient balance. Di Msia Lama…","Mon Jun 04 02:02:19 SGT 2018","true","aymeemin","?Min?"
"nurdiyana431","yana®","1003336147873890306","Not Available","Not Available","RT @ShaykhAzhar: My deepest condolences to the family of our sister Razan al-Najjar. 

She was a 21 year old Palestinian nurse who was shot…","Mon Jun 04 02:02:33 SGT 2018","true","ShaykhAzhar","Shaykh Azhar Nasser"
"nurdiyana431","yana®","1003336184943136770","Not Available","Not Available","RT @sakasuchan: Setiap kali aku rasa nak nak membalas tweet2 yang bodoh, racist, and etc aku patut tweet "sesungguhnya Rasulullah diutus un…","Mon Jun 04 02:02:42 SGT 2018","true","sakasuchan","shuhaida"
"amad5148","amad","1003336199749042176","Not Available","Not Available","RT @kusyuk: Dah 18 hari ramadahan berlalu. Selasa ni bermula 10 malam yang terakhir. 

Doa:

?????????? ????? ??????? ??????? ????????? ???…","Mon Jun 04 02:02:45 SGT 2018","true","kusyuk","kusyuk"
"ImanAbdulRahim","Iman","1003336430385393664","Not Available","Not Available","RT @ArisyaMaisarahh: haha yes, haritu i pergi class skincare mary kay. dia kata sunscreen letak sikit je, sikit tu mcm amount moisturizer.…","Mon Jun 04 02:03:40 SGT 2018","true","ArisyaMaisarahh","?"
screen_name,user_name,status_id,url,actual_url,title,published_date,retweeted,retweet_screen_name,retweet_user_name
"nurul_nbt95","Basit","1003342137365184512","Not Available","Not Available","RT @soulzoul: Pergi Jalan TAR semalam just to experience it after years of not setting my foot there. Aku hairan mak bapak bawak anak umur…","Mon Jun 04 02:26:21 SGT 2018","true","soulzoul","Sheikh Ya Booty"
screen_name,user_name,status_id,url,actual_url,title,published_date,retweeted,retweet_screen_name,retweet_user_name
"nurul_nbt95","Basit","1003343751572385792","Not Available","Not Available","RT @SantapanMinda: Usah bandingkan diri anda dengan orang lain, ada sebabnya mengapa anda mempunyai ciri-ciri unik tersebut. #QuranHour","Mon Jun 04 02:32:46 SGT 2018","true","SantapanMinda","Santapan Minda"
"nurdiyana431","yana®","1003343848288894976","Not Available","Not Available","RT @SantapanMinda: Usah bandingkan diri anda dengan orang lain, ada sebabnya mengapa anda mempunyai ciri-ciri unik tersebut. #QuranHour","Mon Jun 04 02:33:09 SGT 2018","true","SantapanMinda","Santapan Minda"
"nurdiyana431","yana®","1003343892161286145","Not Available","Not Available","Zinnirah","Mon Jun 04 02:33:19 SGT 2018","false","Not Available","Not Available"
"nurdiyana431","yana®","1003343955965063168","Not Available","Not Available","RT @nurdiyana431: Hello","Mon Jun 04 02:33:34 SGT 2018","true","nurdiyana431","yana®"
